,name,artist,spotify_id,release_date,genres
82,Love You Like a Love Song,Selena Gomez & the Scene,0laYHRpNTS6i8FXdupHkJ4,2011-01-01,[]
83,Turn Up the Music,Chris Brown,1RMRkCn07y2xtBip9DzwmC,2012-07-03,['r&b']
84,Die Young,Kesha,7EQGXaVSyEDsCWKmUcfpLk,2012-11-30,[]
85,5 O'Clock,T-Pain,42EMFjvFtOki8MA0JNZqVK,2011-12-06,[]
86,A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl,2011-10-18,['soft pop']
87,Take a Little Ride,Jason Aldean,1KZ13No14RifaK2e9ii8da,2012-10-16,"['country', 'acoustic country']"
88,You da One,Rihanna,3Yt9lRtS5V4nbJnwcgFgvC,2011-11-19,[]
89,We Run the Night,Havana Brown,0mtPNQl5vePVwiI9Vykp7L,2011-01-01,[]
90,It's Time,Imagine Dragons,7MXlTgQeo3IVlMpLnZuhxc,2012-09-04,[]
91,Cashin' Out,Cash Out,1POAx4NMLOBPVKZUSsBh92,2012-03-26,[]
92,I Don't Want This Night to End,Luke Bryan,7c1KTn1z8Gw8ouYdcF4qaG,2011-01-01,"['country', 'acoustic country']"
93,Diamonds,Rihanna,7i0jaBLpIADxqNbhAb4XFb,2012-12-10,[]
94,Hard to Love,Lee Brice,6E9V9TRlVOLjenGjHemzEH,2012-04-24,"['country', 'acoustic country']"
95,Somethin' 'Bout a Truck,Kip Moore,6Ymvlzom4TQeoKqAWsZRD8,2012-01-01,['country']
96,Adorn,Miguel,5hJFhO9dvhJoDvUZZ9iWSw,2012,['r&b']
97,Fly Over States,Jason Aldean,0dUsJqLL2gVO9SOQXtgCMd,2010-11-02,"['country', 'acoustic country']"
98,Even If It Breaks Your Heart,Eli Young Band,0Nu9WA8kEbBWEsay2s8Q0U,2011-01-01,"['country', 'texas country', 'red dirt', 'acoustic country']"
99,Burn It Down,Linkin Park,7oVEtyuv9NBmnytsCIsY5I,2012-06-19,"['nu metal', 'rap metal', 'rock', 'alternative metal']"
100,Thrift Shop,Macklemore & Ryan Lewis,6CjtS2JZH9RkDz5UVInsa9,2012-10-09,[]
101,Blurred Lines,Robin Thicke,0n4bITAu0Y0nigrz3MFJMb,2013-01-01,[]
102,Radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,2012-09-04,[]
103,Harlem Shake,Baauer,01XFgRZfZI7oBagNf1Loml,2013-02-12,['edm trap']
104,Can't Hold Us,Macklemore & Ryan Lewis,22skzmqfdWrjJylampe0kt,2012-10-09,[]
105,Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,2013-03-15,[]
106,Just Give Me a Reason,Pink,1mKXFLRA179hdOWQBwUk9e,2012-09-18,[]
107,When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,2012-12-07,[]
108,Cruise,Florida Georgia Line,5BhsEd82G0Mnim0IUH6xkT,2012-01-01,"['country', 'pop country', 'acoustic country']"
109,Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,2013-01-01,['pop']
110,Locked Out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,[]
111,Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb,2012-04-03,"['folk pop', 'indie folk']"
112,Stay,Rihanna,0GNI8K3VATWBABQFAzBAYe,2012-12-11,[]
113,Get Lucky,Daft Punk,2Foc5Q5nqNiosCNqttzHof,2013-04-19,"['french house', 'electronic', 'electro']"
