rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Supalonely,Benee,4nK5YrxbMGZstTLbvj6Gxw,2019-11-15,[],"Length: 3:43  Tempo: 129 bpm  Loudness: -5 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 70/100

Happiness: 82/100

Danceability: 86/100

Energy: 63/100

Acousticness: 31/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 5/100",3:43,129,-5,G Major,9B,Yes,70,82,86,63,31,0,12,5
Pussy Fairy (OTW),Jhené Aiko,48KXAIruJ07kJVCWOGohMV,2020-01-17,['r&b'],"Length: 3:01  Tempo: 128 bpm  Loudness: -7 db 
Key: D Minor Camelot: 7A Explicit: Yes
Popularity: 65/100

Happiness: 35/100

Danceability: 57/100

Energy: 52/100

Acousticness: 54/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 21/100",3:01,128,-7,D Minor,7A,Yes,65,35,57,52,54,0,10,21
Save Your Tears,The Weeknd & Ariana Grande,1oFAF1hdPOickyHgbuRjyX,2020-03-20,[],"Length: 3:35  Tempo: 118 bpm  Loudness: -5 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 88/100

Happiness: 64/100

Danceability: 68/100

Energy: 83/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 54/100

Speechiness: 3/100",3:35,118,-5,C Major,8B,Yes,88,64,68,83,2,0,54,3
Good 4 U,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,[],"Length: 2:58  Tempo: 167 bpm  Loudness: -5 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 64/100

Happiness: 67/100

Danceability: 56/100

Energy: 64/100

Acousticness: 30/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 14/100",2:58,167,-5,A Major,11B,Yes,64,67,56,64,30,0,8,14
Drivers License,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,2021-05-21,[],"Length: 4:02  Tempo: 144 bpm  Loudness: -9 db 
Key: A#/B♭ Major Camelot: 6B Explicit: Yes
Popularity: 67/100

Happiness: 14/100

Danceability: 58/100

Energy: 43/100

Acousticness: 74/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 5/100",4:02,144,-9,A#/B♭ Major,6B,Yes,67,14,58,43,74,0,11,5
Peaches,Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,[],"Length: 3:18  Tempo: 90 bpm  Loudness: -6 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 83/100

Happiness: 46/100

Danceability: 68/100

Energy: 70/100

Acousticness: 32/100

Instrumentalness: 0/100

Liveness: 42/100

Speechiness: 12/100",3:18,90,-6,C Major,8B,Yes,83,46,68,70,32,0,42,12
Deja Vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,[],"Length: 3:35  Tempo: 181 bpm  Loudness: -7 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 88/100

Happiness: 18/100

Danceability: 44/100

Energy: 61/100

Acousticness: 58/100

Instrumentalness: 0/100

Liveness: 37/100

Speechiness: 11/100",3:35,181,-7,D Major,10B,Yes,88,18,44,61,58,0,37,11
Positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,2020-10-30,['pop'],"Length: 2:52  Tempo: 144 bpm  Loudness: -5 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 81/100

Happiness: 68/100

Danceability: 74/100

Energy: 80/100

Acousticness: 47/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 9/100",2:52,144,-5,C Major,8B,Yes,81,68,74,80,47,0,9,9
Holy,Justin Bieber,5u1n1kITHCxxp8twBcZxWy,2020-09-18,[],"Length: 3:32  Tempo: 87 bpm  Loudness: -8 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 68/100

Happiness: 39/100

Danceability: 67/100

Energy: 69/100

Acousticness: 20/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 35/100",3:32,87,-8,F#/G♭ Major,2B,Yes,68,39,67,69,20,0,9,35
Traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,2021-05-21,[],"Length: 3:49  Tempo: 101 bpm  Loudness: -8 db 
Key: D#/E♭ Major Camelot: 5B Explicit: Yes
Popularity: 89/100

Happiness: 8/100

Danceability: 38/100

Energy: 34/100

Acousticness: 69/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 3/100",3:49,101,-8,D#/E♭ Major,5B,Yes,89,8,38,34,69,0,12,3
