,billboard_year,rank,name,artist,featuring,target
228,2014,29,Maps,Maroon 5,,1
229,2014,30,Loyal,Chris Brown,Lil Wayne & French Montana & Too Short & Tyga,1
230,2014,31,Best Day of My Life,American Authors,,1
231,2014,32,Habits (Stay High),Tove Lo,,1
232,2014,33,Summer,Calvin Harris,,1
233,2014,34,Boom Clap,Charli XCX,,1
234,2014,35,Drunk in Love,Beyoncé,Jay-Z,1
235,2014,36,Anaconda,Nicki Minaj,,1
236,2014,37,Break Free,Ariana Grande,Zedd,1
237,2014,38,Bailando,Enrique Iglesias,Descemer Bueno & Gente de Zona,1
238,2014,39,Burn,Ellie Goulding,,1
239,2014,40,Wiggle,Jason Derulo,Snoop Dogg,1
240,2014,41,Rather Be,Clean Bandit,Jess Glynne,1
241,2014,42,Don't Tell 'Em,Jeremih,YG,1
242,2014,43,Show Me,Kid Ink,Chris Brown,1
243,2014,44,Wrecking Ball,Miley Cyrus,,1
244,2014,45,Not a Bad Thing,Justin Timberlake,,1
245,2014,46,Roar,Katy Perry,,1
246,2014,47,Ain't It Fun,Paramore,,1
247,2014,48,The Man,Aloe Blacc,,1
248,2014,49,This Is How We Roll,Florida Georgia Line,Luke Bryan,1
249,2014,50,Classic,MKTO,,1
250,2014,51,A Sky Full of Stars,Coldplay,,1
251,2014,52,Don't,Ed Sheeran,,1
252,2014,53,Na Na,Trey Songz,,1
253,2014,54,Hot Boy,Bobby Shmurda,,1
254,2014,55,"Hold On, We're Going Home",Drake,Majid Jordan,1
255,2014,56,Sing,Ed Sheeran,,1
256,2014,57,Radioactive,Imagine Dragons,,1
257,2014,58,My Hitta,YG,Jeezy & Rich Homie Quan,1
258,2014,59,Cool Kids,Echosmith,,1
259,2014,60,Hey Brother,Avicii,,1
260,2014,61,Trumpets,Jason Derulo,,1
261,2014,62,Animals,Maroon 5,,1
262,2014,63,Burnin' It Down,Jason Aldean,,1
263,2014,64,Play It Again,Luke Bryan,,1
264,2014,65,2 On,Tinashe,ScHoolboy Q,1
265,2014,66,Dirt,Florida Georgia Line,,1
266,2014,67,Love Runs Out,OneRepublic,,1
267,2014,68,Bottoms Up,Brantley Gilbert,,1
268,2014,69,Shower,Becky G,,1
269,2014,70,Me and My Broken Heart,Rixton,,1
270,2014,71,Animals,Martin Garrix,,1
271,2014,72,Lifestyle,Rich Gang,Young Thug & Rich Homie Quan,1
272,2014,73,American Kids,Kenny Chesney,,1
273,2014,74,Brave,Sara Bareilles,,1
274,2014,75,Sweater Weather,The Neighbourhood,,1
275,2014,76,Leave the Night On,Sam Hunt,,1
276,2014,77,New Flame,Chris Brown,Usher & Rick Ross,1
277,2014,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,,1
278,2014,79,Drunk on a Plane,Dierks Bentley,,1
279,2014,80,Birthday,Katy Perry,,1
280,2014,81,Bartender,Lady Antebellum,,1
281,2014,82,La La La,Naughty Boy,Sam Smith,1
282,2014,83,Blurred Lines,Robin Thicke,T.I. & Pharrell Williams,1
283,2014,84,Do What U Want,Lady Gaga,R. Kelly,1
284,2014,85,Can't Remember to Forget You,Shakira,Rihanna,1
285,2014,86,Amnesia,5 Seconds of Summer,,1
286,2014,87,No Mediocre,T.I.,Iggy Azalea,1
287,2014,88,Come with Me Now,KONGOS,,1
288,2014,89,Believe Me,Lil Wayne,Drake,1
289,2014,90,23,Mike WiLL Made-It,Miley Cyrus & Wiz Khalifa & Juicy J,1
290,2014,91,Beachin',Jake Owen,,1
291,2014,92,White Walls,Macklemore & Ryan Lewis,ScHoolboy Q & Hollis,1
292,2014,93,She Looks So Perfect,5 Seconds of Summer,,1
293,2014,94,Stay the Night,Zedd,Hayley Williams,1
294,2014,95,Partition,Beyoncé,,1
295,2014,96,Studio,ScHoolboy Q,BJ the Chicago Kid,1
296,2014,97,0 to 100 / The Catch Up,Drake,,1
297,2014,98,I Don't Dance,Lee Brice,,1
298,2014,99,Somethin' Bad,Miranda Lambert & Carrie Underwood,,1
299,2014,100,Adore You,Miley Cyrus,,1
300,2015,1,Uptown Funk,Mark Ronson,Bruno Mars,1
301,2015,2,Thinking Out Loud,Ed Sheeran,,1
302,2015,3,See You Again,Wiz Khalifa,Charlie Puth,1
303,2015,4,Trap Queen,Fetty Wap,,1
304,2015,5,Sugar,Maroon 5,,1
305,2015,6,Shut Up and Dance,Walk the Moon,,1
306,2015,7,Blank Space,Taylor Swift,,1
307,2015,8,Watch Me,Silentó,,1
308,2015,9,Earned It,The Weeknd,,1
309,2015,10,The Hills,The Weeknd,,1
310,2015,11,Cheerleader,OMI,,1
311,2015,12,Can't Feel My Face,The Weeknd,,1
312,2015,13,Love Me Like You Do,Ellie Goulding,,1
313,2015,14,Take Me to Church,Hozier,,1
314,2015,15,Bad Blood,Taylor Swift,Kendrick Lamar,1
315,2015,16,Lean On,Major Lazer & DJ Snake,MØ,1
316,2015,17,Want to Want Me,Jason Derulo,,1
317,2015,18,Shake It Off,Taylor Swift,,1
318,2015,19,Where Are Ü Now,Skrillex & Diplo & Jack Ü,Justin Bieber,1
319,2015,20,Fight Song,Rachel Platten,,1
320,2015,21,679,Fetty Wap,Remy Boyz,1
321,2015,22,Lips Are Movin,Meghan Trainor,,1
322,2015,23,Worth It,Fifth Harmony,Kid Ink,1
323,2015,24,Post to Be,Omarion,Chris Brown & Jhené Aiko,1
324,2015,25,"Honey, I'm Good.",Andy Grammer,,1
325,2015,26,I'm Not the Only One,Sam Smith,,1
326,2015,27,Good for You,Selena Gomez,ASAP Rocky,1
327,2015,28,All About That Bass,Meghan Trainor,,1
328,2015,29,Style,Taylor Swift,,1
329,2015,30,Hotline Bling,Drake,,1
330,2015,31,Hey Mama,David Guetta,Nicki Minaj & Bebe Rexha & Afrojack,1
331,2015,32,G.D.F.R.,Flo Rida,Sage the Gemini & Lookas,1
332,2015,33,What Do You Mean?,Justin Bieber,,1
333,2015,34,Photograph,Ed Sheeran,,1
334,2015,35,Hello,Adele,,1
335,2015,36,Stitches,Shawn Mendes,,1
336,2015,37,Talking Body,Tove Lo,,1
337,2015,38,Jealous,Nick Jonas,,1
338,2015,39,Time of Our Lives,Pitbull & Ne-Yo,,1
339,2015,40,Locked Away,R. City,Adam Levine,1
340,2015,41,Somebody,Natalie La Rose,Jeremih,1
341,2015,42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,,1
342,2015,43,Centuries,Fall Out Boy,,1
343,2015,44,My Way,Fetty Wap,Monty,1
344,2015,45,Take Your Time,Sam Hunt,,1
345,2015,46,Animals,Maroon 5,,1
346,2015,47,I Don't Fuck with You,Big Sean,E-40,1
347,2015,48,Bitch Better Have My Money,Rihanna,,1
348,2015,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,,1
349,2015,50,Nasty Freestyle,T-Wayne,,1
350,2015,51,Only,Nicki Minaj,Drake & Lil Wayne & Chris Brown,1
351,2015,52,Elastic Heart,Sia,,1
352,2015,53,Cool for the Summer,Demi Lovato,,1
353,2015,54,Renegades,X Ambassadors,,1
354,2015,55,I Don't Mind,Usher,Juicy J,1
355,2015,56,Love Me Harder,Ariana Grande & The Weeknd,,1
356,2015,57,Wildest Dreams,Taylor Swift,,1
357,2015,58,Stay with Me,Sam Smith,,1
358,2015,59,You Know You Like It,DJ Snake & AlunaGeorge,,1
359,2015,60,Uma Thurman,Fall Out Boy,,1
360,2015,61,7/11,Beyoncé,,1
361,2015,62,The Heart Wants What It Wants,Selena Gomez,,1
362,2015,63,Girl Crush,Little Big Town,,1
363,2015,64,Slow Motion,Trey Songz,,1
364,2015,65,Drag Me Down,One Direction,,1
365,2015,66,Truffle Butter,Nicki Minaj,Drake & Lil Wayne,1
366,2015,67,One Last Time,Ariana Grande,,1
367,2015,68,Chains,Nick Jonas,,1
368,2015,69,All Eyes on You,Meek Mill,Chris Brown & Nicki Minaj,1
369,2015,70,No Type,Rae Sremmurd,,1
370,2015,71,Riptide,Vance Joy,,1
371,2015,72,Classic Man,Jidenna,Roman GianArthur,1
372,2015,73,Ex's & Oh's,Elle King,,1
373,2015,74,Dear Future Husband,Meghan Trainor,,1
374,2015,75,Marvin Gaye,Charlie Puth,Meghan Trainor,1
375,2015,76,Like I'm Gonna Lose You,Meghan Trainor,John Legend,1
376,2015,77,Habits (Stay High),Tove Lo,,1
377,2015,78,The Hanging Tree,James Newton Howard,Jennifer Lawrence,1
378,2015,79,CoCo,O.T. Genasis,,1
379,2015,80,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,,1
380,2015,81,Lay Me Down,Sam Smith,,1
381,2015,82,Tuesday,ILoveMakonnen,Drake,1
382,2015,83,Hit the Quan,iLoveMemphis,,1
383,2015,84,Downtown,Macklemore & Ryan Lewis,Eric Nally & Melle Mel & Kool Moe Dee & Grandmaster Caz,1
384,2015,85,House Party,Sam Hunt,,1
385,2015,86,Ayo,Chris Brown & Tyga,,1
386,2015,87,Kick the Dust Up,Luke Bryan,,1
387,2015,88,Blessings,Big Sean,Drake & Kanye West,1
388,2015,89,Budapest,George Ezra,,1
389,2015,90,Chandelier,Sia,,1
390,2015,91,Heartbeat Song,Kelly Clarkson,,1
391,2015,92,Don't,Ed Sheeran,,1
392,2015,93,Ghost,Ella Henderson,,1
393,2015,94,Here,Alessia Cara,,1
394,2015,95,Waves,Mr Probz,,1
395,2015,96,El Perdón,Nicky Jam & Enrique Iglesias,,1
396,2015,97,She Knows,Ne-Yo,Juicy J,1
397,2015,98,Night Changes,One Direction,,1
398,2015,99,Back to Back,Drake,,1
399,2015,100,How Deep Is Your Love,Calvin Harris & Disciples,,1
400,2016,1,Love Yourself,Justin Bieber,,1
401,2016,2,Sorry,Justin Bieber,,1
402,2016,3,One Dance,Drake,Wizkid & Kyla,1
403,2016,4,Work,Rihanna,Drake,1
404,2016,5,Stressed Out,Twenty One Pilots,,1
405,2016,6,Panda,Desiigner,,1
406,2016,7,Hello,Adele,,1
407,2016,8,Don't Let Me Down,The Chainsmokers,Daya,1
408,2016,9,Can't Stop the Feeling!,Justin Timberlake,,1
409,2016,10,Closer,The Chainsmokers,Halsey,1
410,2016,11,Cheap Thrills,Sia,Sean Paul,1
411,2016,12,7 Years,Lukas Graham,,1
412,2016,13,Needed Me,Rihanna,,1
413,2016,14,My House,Flo Rida,,1
414,2016,15,I Took a Pill in Ibiza,Mike Posner,,1
415,2016,16,Work from Home,Fifth Harmony,Ty Dolla Sign,1
416,2016,17,This Is What You Came For,Calvin Harris,Rihanna,1
417,2016,18,Cake by the Ocean,DNCE,,1
418,2016,19,"Me, Myself & I",G-Eazy & Bebe Rexha,,1
419,2016,20,Ride,Twenty One Pilots,,1
420,2016,21,Heathens,Twenty One Pilots,,1
421,2016,22,Pillowtalk,Zayn,,1
422,2016,23,Stitches,Shawn Mendes,,1
423,2016,24,Hotline Bling,Drake,,1
424,2016,25,Cold Water,Major Lazer,Justin Bieber & MØ,1
425,2016,26,Send My Love (To Your New Lover),Adele,,1
426,2016,27,Roses,The Chainsmokers,Rozes,1
427,2016,28,Treat You Better,Shawn Mendes,,1
428,2016,29,Too Good,Drake,Rihanna,1
429,2016,30,Low Life,Future,The Weeknd,1
430,2016,31,What Do You Mean?,Justin Bieber,,1
431,2016,32,The Hills,The Weeknd,,1
432,2016,33,Just Like Fire,P!nk,,1
433,2016,34,Broccoli,DRAM,Lil Yachty,1
434,2016,35,Don't,Bryson Tiller,,1
435,2016,36,Dangerous Woman,Ariana Grande,,1
436,2016,37,Jumpman,Drake & Future,,1
437,2016,38,"I Hate U, I Love U",Gnash,Olivia O'Brien,1
438,2016,39,Here,Alessia Cara,,1
439,2016,40,Same Old Love,Selena Gomez,,1
440,2016,41,Controlla,Drake,,1
441,2016,42,Like I'm Gonna Lose You,Meghan Trainor,John Legend,1
442,2016,43,One Call Away,Charlie Puth,,1
443,2016,44,Let It Go,James Bay,,1
444,2016,45,No,Meghan Trainor,,1
445,2016,46,Never Forget You,Zara Larsson & MNEK,,1
446,2016,47,Let Me Love You,DJ Snake,Justin Bieber,1
447,2016,48,Don't Mind,Kent Jones,,1
448,2016,49,H.O.L.Y.,Florida Georgia Line,,1
449,2016,50,We Don't Talk Anymore,Charlie Puth,Selena Gomez,1
450,2016,51,Into You,Ariana Grande,,1
451,2016,52,Gold,Kiiara,,1
452,2016,53,Exchange,Bryson Tiller,,1
453,2016,54,679,Fetty Wap,Remy Boyz,1
454,2016,55,Oui,Jeremih,,1
455,2016,56,Hands to Myself,Selena Gomez,,1
456,2016,57,2 Phones,Kevin Gates,,1
457,2016,58,Starboy,The Weeknd,Daft Punk,1
458,2016,59,For Free,DJ Khaled,Drake,1
459,2016,60,Never Be Like You,Flume,Kai,1
460,2016,61,In the Night,The Weeknd,,1
461,2016,62,Me Too,Meghan Trainor,,1
462,2016,63,Ex's & Oh's,Elle King,,1
463,2016,64,Die a Happy Man,Thomas Rhett,,1
464,2016,65,White Iverson,Post Malone,,1
465,2016,66,Close,Nick Jonas,Tove Lo,1
466,2016,67,Unsteady,X Ambassadors,,1
467,2016,68,Sucker for Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla Sign,X Ambassadors,1
468,2016,69,Down in the DM,Yo Gotti,Nicki Minaj,1
469,2016,70,Luv,Tory Lanez,,1
470,2016,71,Sorry,Beyoncé,,1
471,2016,72,Can't Feel My Face,The Weeknd,,1
