spt_id,cv_fold,is_bb,p_audio
1rDVaaK71S83I9cpQR2aKl,0,0,0.0
7d4CKDt1av9NE0be9bugWW,3,0,0.0
63gUTDYyGuFbNdpJmMMX9I,1,0,0.28260868787765503
6eBpGavikKcTF89k0qfw0P,4,0,0.0714285746216774
4Pdaly89XS1AQV1QARV0yK,4,0,0.3499999940395355
3g7srauXB5IBwGV0menlIB,0,0,0.20000000298023224
6r0ZHBrnN30QZiO2r5vc5i,1,0,0.11764705926179886
5mueyPaJsGl0bGiZSu1z0e,3,0,0.625
5rQ99yGrZePB0cfdhP2yTi,4,0,0.3499999940395355
2QZ7WLBE8h2y1Y5Fb8RYbH,1,1,0.7323943376541138
6E11E0lT5Zy7yb6iT3y8DN,4,1,0.6904761791229248
1wfZdPy5FRWsdWaAEOG0Ml,2,0,0.4166666567325592
76hfruVvmfQbw0eYn1nmeC,0,1,0.8333333134651184
3QaPy1KgI7nu9FJEQUgn6h,4,1,0.3076923191547394
0sHc1EEeOnmgjP6QmsR7px,1,0,0.7323943376541138
07MDkzWARZaLEdKxo6yArG,3,1,0.625
5O5OavctuO9wnt7smmAQku,0,0,0.6315789222717285
6BORJ0ZazxMBpM3cWg79Id,1,0,0.0
2kalDCDKHDOCGoawOg9xIo,1,0,0.5
12K4heaHk5aHqb2LDv8gC1,4,0,0.5277777910232544
4hPpVbbakQNv8YTHYaOJP4,1,0,0.7323943376541138
5CXnIPD6rTjszYYQm6fY2P,0,1,0.5254237055778503
5oIVNm56t6OIf9ZjdEG3ud,1,0,0.28260868787765503
5UfuygJfTKp2dGtWDWOLvg,2,0,0.4375
6s9ICeczYOfbHHIaSMq9jd,0,1,0.5254237055778503
0V3wPSX9ygBnCm8psDIegu,4,1,0.6153846383094788
1VjaZbooaWkntfBLoH6Tb8,3,0,0.8333333134651184
5UXiVaP9ngjUGyj32SeOy7,1,0,0.7323943376541138
1qEmFfgcLObUfQm0j1W2CK,0,1,0.6530612111091614
7IYZNVEseDwrWbKe1n0X4j,1,0,0.5
4NWctT5ACNTPJadWyJKSWo,1,0,0.7323943376541138
37BzQ6nCVvtjtRN0142zge,2,0,0.5
4mtmmBBEgdJLYWnLy5zvWE,2,1,0.5
5FljCWR0cys07PQ9277GTz,4,1,0.6744186282157898
2E43WFS4rRc09za2r2GmZl,3,1,0.43939393758773804
2K87XMYnUMqLcX3zvtAF4G,2,1,0.6571428775787354
76VtA90NKurNqaQpV126Ue,0,1,0.6315789222717285
0E0xCeOBQRSkbABuLVOR4F,1,0,0.7323943376541138
29SvTTSIa1hdulOzztjBDw,4,0,0.3076923191547394
7dJYggqjKo71KI9sLzqCs8,0,1,0.6530612111091614
00PmVuzpGbFDLVZbPhPEUT,4,0,0.6904761791229248
