,name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
165,vengeance,new model army,46tD9gpOFQBep4s6ddvAKa,2012,9999,0
166,darkness,tab benoit,3pVGNOtcFTx2Lo1ZxjwT2v,2012,9999,0
167,mus come a road,mr. vegas,6pEhK5JeXgikmyoGu9Ux9m,2012,9999,0
168,elektropferd,banjee,4pJca7iSuDtO8eD96bZfGv,2012,9999,0
169,g.d.g,jurassic jade,28ETdvG09wRpzxDxokHuMp,2012,9999,0
170,ronnie & mags,nofx,3CbPsxgJB53v51wWqcY6oD,2012,9999,0
171,we are family (live version),chic,1S8OtNTUvxhiQ1ejtmxv1W,2012,9999,0
172,this girl,punch brothers,3T3GGKQhwTf539CwMfpxzM,2012,9999,0
173,escher,chilly gonzales,7wZN19XywdLYnUxx814xwr,2012,9999,0
174,a flower is not a flower,ryuichi sakamoto,3MGrAbfCBWiejLAzTyICBx,2012,9999,0
175,mazzaropi: o adorável caipira: 100 anos de alegria,liga carnaval sp,0N1DKcyc0McyU0YzQ1Gs6c,2012,9999,0
176,story of my life,andy moor,3Oc0XboIByXWIWN8A26G4j,2012,9999,0
177,road to paradise (acoustic),tat,29TsEJUfZZmjeDFbeYXkeH,2012,9999,0
178,marry you,glee cast,5Ygqur37YLpmcAuFtbKhr4,2012,9999,0
179,the fatal chariot,igor talkov,2LScIha8I8QtvkEAiFPiqZ,2012,9999,0
180,running late,brennan heart,6SGsHN8tRDuqjprxrUmWNZ,2012,9999,0
181,put me to sleep,porcelain raft,0HSC1X4cSm45djxIrsvxiC,2012,9999,0
182,tinnitus masker,crickets - tinnitus sleep solution,1F9u2RXESkjbhASzZZRGut,2012,9999,0
183,dualxess - died in your arms 2k12 - (coccuma extended mix),dualxess,44Cc5BhvRUpUqzajOjVoen,2012,9999,0
184,goree,lionel loueke,0jOjykzSFnykQNFub3YJvO,2012,9999,0
185,kadavulin koil,shweta mohan,0DfIvvNhE0JNOsLNkxks1k,2012,9999,0
186,serene thunderstorm in the distance,nature sounds,4kObJ9dvuwXYgigTX4yxnL,2012,9999,0
187,deutsche bahn - a cappella,wise guys,6PTZfuVnstaTsAxG0L6zzk,2012,9999,0
188,glory,marvin sapp,3BapmjYP2nF3P6PruViQxA,2012,9999,0
189,all we love we leave behind,converge,38ekh7ER21LsbR3pdhabu8,2012,9999,0
190,generation - boris brejcha remix,victor ruiz,3W2AsuT0ueSwi9GfYaXts0,2012,9999,0
191,nuclear (hands up),zomboy,32AV76N8GhpnJ74VoYfDGk,2012,9999,0
192,los caminos del señor,álvaro del castillo,7IY0m7HDP8WO9V5OK0bNgx,2012,9999,0
193,t.o.s. of reality,hocico,3WABw9dNXLdAPcx38mL3IZ,2012,9999,0
194,se eu pegar você ra,companhia do calypso,6wZQreQsCyp0UR9wp44GSM,2012,9999,0
195,傻瓜,ken hung,3kd3ekVzwulJHuYruvr0XN,2012,9999,0
196,湮雨,christopher wong,6OHJiVS7wEZbTPcc9aNf7Y,2012,9999,0
197,the nation of hardstyle - original version,dj stephanie,68XrZMLPZ7B81NQ9rIMfpP,2012,9999,0
198,da aceitação à descoberta,plague rages,4mIy29RlKqCoDh6d37ICTf,2012,9999,0
199,just as i am,philip wesley,1lkEgm7XKDnDIhEsZGyzXn,2012,9999,0
200,ese soy yo,louie ramirez,2fRsCIfabCtrAHx1LOzLgS,2012,9999,0
201,charmed life (instrumental version),rjd2,1XprI7oWE4TaWgFhLd9pkS,2012,9999,0
202,winter sun,windhand,2YEdYkua6YQhn9ywJfRhsi,2012,9999,0
203,その向こうへ,10-feet,0vGTbYvJkMOzwlgxHViUfE,2012,9999,0
204,jabaculê no jabour,orquestra popular de câmara,65S2OVNRpjYUN7gbDw0pkF,2012,9999,0
205,anoranzas,hugo díaz,2dBgzU1Ywd7Au1WFoVwvV4,2012,9999,0
206,lanterns (feat. sarah howells),vexare,3KnnXZtDMPVvpEwg8RDNM0,2012,9999,0
207,ya no más - acústica,vanesa martín,4JVt6xkeEuSZ682YiH6j2d,2012,9999,0
208,oriental cafe,jasmon,0fGHwW02H3GYXXnvG71Uhh,2012,9999,0
209,goin' to see my baby,fatback band,5B0Tljubak8qra6SzKwcEG,2012,9999,0
210,wait and then,gustavo santaolalla,44oEbP2HSJRRZgPviUjyBP,2012,9999,0
211,the bad touch - phillerz edit,dj gollum,6SvrBT0R8AYlnezYsJoMYd,2012,9999,0
212,germaphobe,todd barry,6uG3RMnpurtJjoYEBdKmuT,2012,9999,0
213,today - happy paul remix,technical lovers,6C70nYF4fEaAp1xDEFSzjA,2012,9999,0
214,have a blast,periphery,1mcbjDMzRWVqI3YeiYdUrR,2012,9999,0
215,cold comfort,poison idea,0jg7rfQ2fCXjVys5yDHbWo,2012,9999,0
216,payphone - edit,maroon 5,4cdgQp78RyRzI04Bmw8o44,2012,9999,0
217,gods are bored,the datsuns,6zOFKpA9aTRGdHWjJAekOU,2012,9999,0
218,section 8,whitechapel,7gc8gz1XuvrdNbe5znV2ka,2012,9999,0
219,venturas highway,steve petrunak,2WFZ1bA652vy8xatG4u4Xt,2012,9999,0
220,リライト,asian kung-fu generation,1F7VmSczI6RDoNTqwoie65,2012,9999,0
221,wanderluster,band of skulls,69ViPSSYd02X9oKAQTl2HP,2012,9999,0
222,lessons in love - headhunterz remix,kaskade,34OYotkjRMZnXtUlBwaoh0,2012,9999,0
223,vicious cycles,astrix,4O0s8TVnujUaiwxFfP9ymB,2012,9999,0
224,head kick,the future sound of london,5t52Ishrig1DJYTo9qZrJK,2012,9999,0
225,martini royale - kiss me james mix,cocogroove,1iIdkDXmuTc42FY6vaY559,2012,9999,0
226,adónde vas?,paté de fuá,21A0kDybrAa5m0oMMIVJ52,2012,9999,0
227,dance with me,the funkees,233h7OVl41Q6HUnAM4hx3Q,2012,9999,0
228,it's alright (feat. mikeschair),json,6VAQeVszNCHVmkMZASFg1v,2012,9999,0
229,the struggle,tenth avenue north,53qbVEte9KmA50WLeUWHK0,2012,9999,0
230,jahrmarkt in saint denis,spotlight musicals,3HMIIfEIRGnxHYyLLwT1ku,2012,9999,0
231,reason time,the abyssinians,79dhjumFojYpiZCSCoEcKQ,2012,9999,0
232,we just couldn't say goodbye,diana krall,5umb26YA6IGQaJFNh5IZdi,2012,9999,0
233,nao chega para viver,graça braga,7mSYpVfLkLmPBmgw7FJTOU,2012,9999,0
234,花艇小英雄,李龍基,1WVYm4u5W9StjKrCRmDymR,2012,9999,0
235,old river road,the lacs,0UhuBPpuEYtnHSQKtQi0VU,2012,9999,0
236,mulungu sama gona,pompi,0lINfLBZjxGwcg5lkxZI53,2012,9999,0
237,come roun (clean),mavado,7oxhqCD9QznsYO27lR9wJI,2012,9999,0
238,hair of the dog,mike viola,2VGMBZCpLUwmvEpbA3gOzi,2012,9999,0
239,hands on the wheel (feat. asap rocky),schoolboy q,78JKJfKsqgeBDBF58gv1SF,2012,9999,0
240,on my way to heaven - seven lions remix,above & beyond,4igZj3ZXyoG2a3IQoBYqmw,2012,9999,0
241,gravitation,stellardrone,0LT3TSQ5TGXXmheOpifX3e,2012,9999,0
242,lonely dark - original edit,zany,3nHAMcofXgVsdzGnIgA8cD,2012,9999,0
243,devil's creek,propagandhi,4NQGDsC8plK2nAvhIRKTSg,2012,9999,0
244,not giving in (feat. john newman & alex clare) - bondax remix,rudimental,5fZ81gAHlI6r1vDzce2pMa,2012,9999,0
245,te dejo ganar,jesús adrián romero,4wrq8qLtW8fhIq6agng9Mv,2012,9999,0
246,forget - solo in paris,lianne la havas,6pmrDIZKljbgNMNsavmWmA,2012,9999,0
247,me rendo,hillsong global project,2XyR41aQULwd1ZZxh1ajxY,2012,9999,0
248,matsoe matsoe - fenix remix,dr rude,1yFWdxdTxfV8PkYa1IcHbc,2012,9999,0
249,the heartless part,secrets,7DAPjlTP9wDu01EuYBaSSh,2012,9999,0
250,kick out the epic motherfucker,dada life,2FvbZDwZPpGc0JqINP7WV7,2012,9999,0
251,i worship you,the little willies,1GjLFQkYFw4nDLioILNFKo,2012,9999,0
252,"anna molly - live at hq, los angeles, ca - june/july 2011",incubus,5NcAmUjKqGC0jVbIzIhzui,2012,9999,0
253,lemonade - gesaffelstein remix,boys noize,4TlZUgl7g62z1aVkJYuvHp,2012,9999,0
254,let the bass go - original mix,colombo,6PAbqyiSpuAAVxrW5e8ExY,2012,9999,0
255,tangomania: iv. te llevo en mis venas,cecilio perera,0Q2ueK6EjzWYQLRHtMBrmN,2012,9999,0
256,pedacinhos,as galvão,0YxgM7rlqORi6liI4eL6qS,2012,9999,0
257,gamma band,kurt rosenwinkel,3Sdfy3mjbjKk0nHTexzWkJ,2012,9999,0
258,45 seconds - original edit,gainworx,0rOLkKa5U5Rm5Fqgrjfpje,2012,9999,0
259,zun zun,karthik,2MpRgmnWtgnqxOrB6k2OCI,2012,9999,0
260,aspirante a estilita,hora zulu,3F2xgA4kpBMolfXu56Jk9P,2012,9999,0
261,war - subscape remix,caspa,1rQGGnTnPuS7KC2p9sV7WQ,2012,9999,0
262,you got a way,kris allen,4ALTuVKcRrbPyxDIqVUQQN,2012,9999,0
263,shenandoah,danny wright,5TXJpgeEOXpOLtn43bO9ee,2012,9999,0
264,ism - original mix,savant,0WiEqe3bOczQMBcunKXTPx,2012,9999,0
265,can't just be friends,bad sports,72fKCVESGb0ikWVQ3TnFpp,2012,9999,0
266,carol of the bells,august burns red,2UxVAx0Ydcn4xs9FIRBczz,2012,9999,0
267,so long,larse,5QPBk8UaFjZTJQpOM93N3s,2012,9999,0
268,hollow,saltillo,214d489lCwBGfH8Y5zwBbf,2012,9999,0
269,leakage - original,noisia,1e7DwvtA8oW4hgR4y8ti2C,2012,9999,0
270,i will wait,gavin mikhail,7cfsgxUR8S8jZHtjjKesWq,2012,9999,0
271,greensleeves,vince guaraldi trio,2H9zsdAjaue3tkg4d27jRm,2012,9999,0
272,sen gelmez oldun,alihan samedov,2pVEAH8h0sKRkdnoo0pxDI,2012,9999,0
273,brain scan,smith & mighty,6uIsCR1snETRcMhuNnbBKp,2012,9999,0
274,i know - original mix,alexis raphael,6rpFdsybMygEF1qqSqrbHz,2012,9999,0
275,vou buscar você,solevante e soleny,2bLl3r7kR6CwWeRIyQpJw5,2012,9999,0
276,precis som det ska va',kenneth & the knutters,0KGHrMRvAXlNh2N0KVsOMF,2012,9999,0
277,without your love,the abigails,4WVM6y2uwHQFOW46Jtdlue,2012,9999,0
278,uk shanty,clean bandit,4Hb87YjieOmLSDhkD5KdlO,2012,9999,0
279,mesmo que seja eu - ao vivo,erasmo carlos,5mO1VbqB7Imqhww71SVY4G,2012,9999,0
280,emergency,dj sliink,7x47iB3UlkzRTdc68UlyQv,2012,9999,0
281,silly song - early version,the two things in one,6qtqD7nCUFIBo0GFkprfbg,2012,9999,0
282,"levántate, siéntate (stand up, sit down)",patty shukla,02yCO495paAYn2n020raYJ,2012,9999,0
283,teardrops,joss stone,5Hrh0oGNYcvVJqgioPoXZ1,2012,9999,0
284,the nothing song,chicane,47HKdyVpGNLpkq8GDiDpZC,2012,9999,0
285,the anarchist,rush,7LkMvdPlagxLNKTU77Z1SO,2012,9999,0
286,a very good life,lebanon hanover,6artWTNA47OcLZrAPVDmtT,2012,9999,0
287,snip snip,chill bump,63G65rgq1qohYhINfZGRPs,2012,9999,0
288,energy wizard,squarepusher,0nQxckQ0QSqXFdZqLJzmgH,2012,9999,0
289,seams and stitches,with the punches,1qoa9LMGkjuLJuxf8Uy5OI,2012,9999,0
290,baak waa,aandra,5DT4gVnLreyRDanWZCOC7k,2012,9999,0
291,amazing,monica,0XrA3wDvlZEWUuIKK7WRqd,2012,9999,0
292,so sick,brandy,1sQVBOZKJuSyCL0IIU2jj6,2012,9999,0
293,shout (animal house mix),hokey pokey kids,1zotzqeJZfON20ATt9nGcs,2012,9999,0
294,the angel,kate mann,5ExOi9wqMgACpOW7cSq7L0,2012,9999,0
295,mírame,saurom,0l5Up6YsAGMylUQAoDDpGU,2012,9999,0
296,pisces,the sidewinders,5Dcqo0PtRD1BV7AmpJZem9,2012,9999,0
297,cyber warfare,machinae supremacy,1iIdvpGvyvilatf7zJl0IG,2012,9999,0
298,"ellens gesang iii, d. 839, op. 52: no. 6. ""ave maria""",jonathan & charlotte,5igxGfBIZN04pmgnLBmBkV,2012,9999,0
299,population control,no zodiac,3tX2AmU4fdXIky3SyHXzKc,2012,9999,0
