spt_id,cv_fold,is_bb,p_lyric
0fYVliAYKHuPmECRs1pbRf,2,1,0.4203287170050622
2y4lAQpi5VTNLu2ldeTdUH,2,1,0.9191919191919192
2Yl4OmDby9iitgNWZPwxkd,4,1,0.7287275636634226
2ljBzSWN7BhubXwqbdtE8e,0,0,0.49496562962299673
2wSTnntOPRi7aQneobFtU4,0,1,0.719319607805498
5eCkuGPZNl4mISFNPgr3Dd,0,1,0.5233512057686378
3xbxh3LW9v6E3wn1AwUJfe,0,0,0.38542330139688374
0yPWj2trBQazAUasaLmqbU,3,0,0.25816993464052285
0RdeBuehFZDqizsfbFQxUi,1,0,0.17907943008708274
2T23r4De9TGsNRF4u7tU8p,4,0,0.5367584573441339
18XfhVkjMrvih7OywxBeOz,1,0,0.4042101591830187
12N5hUETprhgb2zeWAzUkS,4,0,0.5616774008075239
2uXlHCUbq9OMUwx3hrk06o,3,1,0.4336609643857543
5YEOzOojehCqxGQCcQiyR4,1,1,0.7061522479427631
22mek4IiqubGD9ctzxc69s,3,1,0.3023106673236407
6hkjKixSrlQurLqgc9RSGx,0,0,0.28652043820846
5ho8oss55EBoevEvhlrCo2,1,0,0.34839129156750365
1xzBco0xcoJEDXktl7Jxrr,0,1,0.2955912403671627
6to111eRsvoClVL7d9BRfa,1,0,0.2625647892759866
4C6Uex2ILwJi9sZXRdmqXp,3,1,0.7742229025811115
1diS6nkxMQc3wwC4G1j0bh,4,1,0.4631549891240821
2pIkKOkz4HiXNza1xfSBEo,4,0,0.2585994116972769
3BEG90ffpOk0TO8PTEA4AT,1,0,0.30653203491165937
1rDVaaK71S83I9cpQR2aKl,0,0,0.07852644673529853
7d4CKDt1av9NE0be9bugWW,3,0,0.36613756613756615
63gUTDYyGuFbNdpJmMMX9I,1,0,0.29066726090031736
6eBpGavikKcTF89k0qfw0P,4,0,0.32302914885176764
4Pdaly89XS1AQV1QARV0yK,4,0,0.1130405518690719
3g7srauXB5IBwGV0menlIB,0,0,0.23248465283198905
6r0ZHBrnN30QZiO2r5vc5i,1,0,0.14052455814373196
5mueyPaJsGl0bGiZSu1z0e,3,0,0.30871985157699444
5rQ99yGrZePB0cfdhP2yTi,4,0,0.3202493463523466
2QZ7WLBE8h2y1Y5Fb8RYbH,1,1,0.6402578344314259
6E11E0lT5Zy7yb6iT3y8DN,4,1,0.8673937807100401
1wfZdPy5FRWsdWaAEOG0Ml,2,0,0.8110119047619048
76hfruVvmfQbw0eYn1nmeC,0,1,0.723158826311527
3QaPy1KgI7nu9FJEQUgn6h,4,1,0.5243586534789056
0sHc1EEeOnmgjP6QmsR7px,1,0,0.7658712032468432
07MDkzWARZaLEdKxo6yArG,3,1,0.7545469766551856
5O5OavctuO9wnt7smmAQku,0,0,0.5794239519737866
6BORJ0ZazxMBpM3cWg79Id,1,0,0.413945915929284
2kalDCDKHDOCGoawOg9xIo,1,0,0.48868457055213615
12K4heaHk5aHqb2LDv8gC1,4,0,0.5119589456276405
4hPpVbbakQNv8YTHYaOJP4,1,0,0.7602335062755893
5CXnIPD6rTjszYYQm6fY2P,0,1,0.45446225647606253
5oIVNm56t6OIf9ZjdEG3ud,1,0,0.7523247695895138
5UfuygJfTKp2dGtWDWOLvg,2,0,0.27369929453262787
6s9ICeczYOfbHHIaSMq9jd,0,1,0.6393430903017029
0V3wPSX9ygBnCm8psDIegu,4,1,0.2542330527465381
1VjaZbooaWkntfBLoH6Tb8,3,0,0.4780394208965637
5UXiVaP9ngjUGyj32SeOy7,1,0,0.4175963107978349
1qEmFfgcLObUfQm0j1W2CK,0,1,0.7102307015269343
7IYZNVEseDwrWbKe1n0X4j,1,0,0.5879089796625209
4NWctT5ACNTPJadWyJKSWo,1,0,0.309644392111899
37BzQ6nCVvtjtRN0142zge,2,0,0.15873015873015872
4mtmmBBEgdJLYWnLy5zvWE,2,1,0.40187198067632846
5FljCWR0cys07PQ9277GTz,4,1,0.722898375240547
2E43WFS4rRc09za2r2GmZl,3,1,0.37437641723356
2K87XMYnUMqLcX3zvtAF4G,2,1,0.27369929453262787
76VtA90NKurNqaQpV126Ue,0,1,0.429241934824066
