name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
applause,lady gaga,5ka2ajep9OAvU5Sgduhiex,2013,2013,1
love me,lil wayne,2XHzzp1j4IfTNp1FTn7YFg,2013,2013,1
my songs know what you did in the dark (light em up),fall out boy,2E43WFS4rRc09za2r2GmZl,2013,2013,1
fuckin' problems,asap rocky,4X5f3vT8MRuXF68pfjNte5,2013,2013,1
beauty and a beat,justin bieber,6QFCMUUq1T2Vf5sFUXcuQ7,2012,2013,1
same love,macklemore & ryan lewis,01uqI4H13Gsd8Lyl1EYd8H,2012,2013,1
sweet nothing,calvin harris,24LS4lQShWyixJ0ZrJXfJ5,2012,2013,1
summertime sadness,lana del rey,1Ist6PR2BZR3n2z2Y5R6S1,2012,2013,1
power trip,j. cole,2uwnP6tZVVmTovzX5ELooy,2013,2013,1
girl on fire,alicia keys,4esOae7i4rqTbAu9o5Pxco,2012,2013,1
heart attack,demi lovato,1V6gIisPpYqgFeWbMLI0bA,2013,2013,1
love somebody,maroon 5,0HnaqUxvHP5LaWdmWwJpiS,2012,2013,1
i will wait,mumford & sons,3Bclyko7WmwM2oGmKj8sue,2012,2013,1
try,pink,1jF7IL57ayN4Ity3jQqGu0,2012,2013,1
wagon wheel,darius rucker,3xdjjKMcMOFgo1eQrfbogM,2013,2013,1
i need your love,calvin harris,05SBRd4fXgn8FX7bf8BCAE,2012,2013,1
bad,wale,5yhKaacMZGRo4s6evJx9vk,2013,2013,1
boys 'round here,blake shelton,39FwE8edwuyiaa4PrGBkP7,2013,2013,1
"gone, gone, gone",phillip phillips,56sxN1yKg1dgOZXBcAHkJG,2012,2013,1
demons,imagine dragons,3LlAyCYU26dvFZBDUIMb7a,2012,2013,1
counting stars,onerepublic,2tpWsVSb9UEmDRxAl1zhX1,2013,2013,1
i cry,flo rida,4bZd0nRuX8HyjeXAUBczvm,2012,2013,1
little talks,of monsters and men,2ihCaVdNZmnHZWt0fvAM7B,2012,2013,1
the other side,jason derulo,5FljCWR0cys07PQ9277GTz,2013,2013,1
berzerk,eminem,6Xk7PnitV9jCRorWt2LiVZ,2013,2013,1
catch my breath,kelly clarkson,5qxPabNDnJQ551Tf4v6k3j,2012,2013,1
crash my party,luke bryan,6GBUsjHfZuweYf5lQEz6mP,2013,2013,1
pour it up,rihanna,76VtA90NKurNqaQpV126Ue,2012,2013,1
22,taylor swift,3yII7UwgLF6K5zW3xad3MP,2021,2013,1
i want crazy,hunter hayes,4FkgULes13bk2eHrsJg4q9,2011,2013,1
the fox (what does the fox say?),ylvis,5HOpkTTVcmZHnthgyxrIL8,2013,2013,1
best song ever,one direction,5T7ZFtCcOgkpjxcuaeZbw0,2013,2013,1
the a team,ed sheeran,1VdZ0vKfR5jneCmWIUAMxK,2011,2013,1
carry on,fun,7gpy7sfWPNuOKmUNs3XQYE,2012,2013,1
highway don't care,tim mcgraw,4wFUdSCer8bdQsrp1M90sa,2013,2013,1
that's my kind of night,luke bryan,5HGibWoxnkYSkl6mHmAlOE,2013,2013,1
swimming pools (drank),kendrick lamar,6REbwUNlppTfcnV4d4ZoZi,2012,2013,1
sure be cool if you did,blake shelton,5yIiXdLRE85OBiQmCaUenq,2013,2013,1
#beautiful,mariah carey,1ahAuX3F6tDdNRfMdiLsv6,2014,2013,1
troublemaker,olly murs,6s8nHXTJVqFjXE4yVZPDHR,2012,2013,1
body party,ciara,0rFZaQ4crlGAzuCjWCQ2xu,2013,2013,1
hall of fame,the script,1X1DWw2pcNZ8zSub3uhlNz,2012,2013,1
u.o.e.n.o.,rocko,0HFrCOmhCYXlv4NdEwRAuj,2013,2013,1
next to me,emeli sandé,1Xsxp1SEOxuMzjrFZhtw8u,2012,2013,1
mama's broken heart,miranda lambert,2mXsZsJBThTaJXbNcg5QD4,2011,2013,1
it goes like this,thomas rhett,6GsAD8PgHxmEuIPTG8GP3M,2013,2013,1
bugatti,ace hood,08ljt6NCNAgewQaMya1URa,2013,2013,1
downtown,lady antebellum,4kY7rYtE4OQkJNq22OIYRI,2013,2013,1
get your shine on,florida georgia line,6s9ICeczYOfbHHIaSMq9jd,2012,2013,1
#thatpower,will.i.am,01TuObJVd7owWchVRuQbQw,2013,2013,1
brave,sara bareilles,6Uy6K3KdmUdAfelUp0SeXn,2013,2013,1
let her go,passenger,1KxwZYyzWNyZSRyErj2ojT,2012,2013,1
runnin' outta moonlight,randy houser,4vlJejZrcujj0nSCqIBeWn,2013,2013,1
i'm different,2 chainz,6J5sxraPPZ4b0CVOGAgpXj,2012,2013,1
still into you,paramore,1yjY7rpaAQvKwpdUliHx0d,2013,2013,1
happy,pharrell williams,60nZcImufyMA1MKQY3dcCH,2014,2014,1
dark horse,katy perry,4jbmgIyjGoXjY01XxatOx6,2013,2014,1
all of me,john legend,3U4isOIWM3VvDubwSI3y7a,2013,2014,1
fancy,iggy azalea,3oiMJQAWVaxSubJ7b2VUtX,2014,2014,1
talk dirty,jason derulo,6g6A7qNhTfUgOSH7ROOxTD,2013,2014,1
rude,magic!,6RtPijgfPKROxEzTHNRiDp,2014,2014,1
all about that bass,meghan trainor,5jE48hhRu8E6zBDPRSkEq7,2015,2014,1
problem,ariana grande,7vS3Y0IKjde7Xg85LWIEdP,2014,2014,1
stay with me,sam smith,5Nm9ERjJZ5oyfXZTECKmRt,2014,2014,1
timber,pitbull,3cHyrEgdyYRjgJKSOiOtcS,2012,2014,1
pompeii,bastille,3gbBpTdY8lnQwqxNCcf795,2013,2014,1
shake it off,taylor swift,5xTtaWoae3wi06K5WfVUUH,2014,2014,1
am i wrong,nico & vinz,1fidCEsYlaVE3pHwKCvpFZ,2014,2014,1
turn down for what,dj snake & lil jon,67awxiNHNyjMXhVgsHuIrs,2013,2014,1
the monster,eminem,48RrDBpOSSl1aLVCalGl5C,2013,2014,1
say something,a great big world & christina aguilera,6Vc5wAMmXdKIAM7WUoEb7N,2014,2014,1
team,lorde,3G6hD9B2ZHOsgf4WfNu7X1,2013,2014,1
let it go,idina menzel,0qcr5FMsEO85NAQjrlDRKo,2013,2014,1
story of my life,one direction,4nVBt6MZDDP6tRVdQTgxJg,2013,2014,1
chandelier,sia,2s1sdSqGcKxpPr5lCl7jAV,2015,2014,1
black widow,iggy azalea,7pNC5ZIKtwUK0ReSpM3P9f,2014,2014,1
bang bang,jessie j & ariana grande & nicki minaj,0puf9yIluy9W0vpMEUoAnN,2014,2014,1
latch,disclosure,51ODNNDZm21HU7wI7cccRr,2013,2014,1
maps,maroon 5,4gbVRS8gloEluzf0GzDOFc,2014,2014,1
loyal,chris brown,5BrTUo0xP1wKXLJWUaGFtk,2014,2014,1
best day of my life,american authors,5Hroj5K7vLpIG4FNCRIjbP,2014,2014,1
habits (stay high),tove lo,14OxJlLdcHNpgsm4DRwDOB,2014,2014,1
summer,calvin harris,6YUTL4dYpB9xZO5qExPf05,2014,2014,1
boom clap,charli xcx,0Y1MWB026LYxGvhq4EcMiC,2014,2014,1
drunk in love,beyoncé,6jG2YzhxptolDzLHTGLt7S,2014,2014,1
anaconda,nicki minaj,4M7aciOBSbGnh1bN3YbuS0,2014,2014,1
break free,ariana grande,12KUFSHFgT0XCoiSlvdQi4,2014,2014,1
bailando,enrique iglesias,4OywWddjdsFOXXSC4266hg,2014,2014,1
burn,ellie goulding,5lF0pHbsJ0QqyIrLweHJPW,2012,2014,1
wiggle,jason derulo,2sLwPnIP3CUVmIuHranJZU,2013,2014,1
rather be,clean bandit,0am001WwFBVGDGLwRh3ixi,2014,2014,1
don't tell 'em,jeremih,0Dc7J9VPV4eOInoxUiZrsL,2015,2014,1
show me,kid ink,4q6dqyGM25sKFU8nYAGRe4,2014,2014,1
not a bad thing,justin timberlake,3nB82yGjtbQFSU0JLAwLRH,2013,2014,1
ain't it fun,paramore,1j8z4TTjJ1YOdoFEDwJTQa,2013,2014,1
the man,aloe blacc,4e6ZN0EcEqYx74BTC5xQzy,2013,2014,1
this is how we roll,florida georgia line,2TR7A4ulH9R1PNwMyd8o8U,2013,2014,1
classic,mkto,6FE2iI43OZnszFLuLtvvmg,2012,2014,1
a sky full of stars,coldplay,0FDzzruyVECATHXKHFs9eJ,2014,2014,1
don't,ed sheeran,6gTJaPuj8DT8RjuDJyBgzP,2013,2014,1
na na,trey songz,5maiP9UMnTSgoxPX8X3bdz,2014,2014,1
hot boy,bobby shmurda,0rFke7eNFHbGuGJUdRgjB2,2014,2014,1
sing,ed sheeran,6K8qKeWo5MsFED7wCR6Kop,2014,2014,1
my hitta,yg,5G47DlluL671zo0k3OhoSm,2013,2014,1
cool kids,echosmith,13P5rwmk2EsoFRIz9UCeh9,2013,2014,1
hey brother,avicii,4lhqb6JvbHId48OUJGwymk,2013,2014,1
trumpets,jason derulo,5KONnBIQ9LqCxyeSPin26k,2013,2014,1
animals,maroon 5,2bL2gyO6kBdLkNSkxXNh6x,2014,2014,1
burnin' it down,jason aldean,32FcjEWPn4aSRqJ6loL01b,2014,2014,1
play it again,luke bryan,03fT3OHB9KyMtGMt2zwqCT,2013,2014,1
2 on,tinashe,3jVtllWS5CFFWLQng8sKsr,2014,2014,1
dirt,florida georgia line,5CXnIPD6rTjszYYQm6fY2P,2014,2014,1
love runs out,onerepublic,5BJSZocnCeSNeYMj3iVqM7,2014,2014,1
bottoms up,brantley gilbert,0HZUp8fm9fh1Mitqx4CIOr,2014,2014,1
shower,becky g,3DmW6y7wTEYHJZlLo1r6XJ,2014,2014,1
me and my broken heart,rixton,1oew3nFNY3vMacJAsvry0S,2014,2014,1
animals,martin garrix,0A9mHc7oYUoCECqByV8cQR,2013,2014,1
lifestyle,rich gang,7DTlsMOQjGysXHpwwpHuPl,2014,2014,1
american kids,kenny chesney,1dgWTMoHwTUnQhOQ8SR5fV,2014,2014,1
sweater weather,the neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,2013,2014,1
leave the night on,sam hunt,3wx2kQWPn9p5UppQbNhPAk,2014,2014,1
new flame,chris brown,3fBbfrWZUuWWrMQXFISr7N,2014,2014,1
love never felt so good,michael jackson & justin timberlake,48td6xvpokdYwvbl3JIiXP,2014,2014,1
drunk on a plane,dierks bentley,1soxUgYIZb1qx1c7o1Lc7z,2014,2014,1
birthday,katy perry,2xLOMHjkOK8nzxJ4r6yOKR,2013,2014,1
bartender,lady antebellum,1qFQKFt9fp1LU9QsvFbyPS,2014,2014,1
la la la,naughty boy,36pLU2ywVeBKEF0rrKtmCB,2014,2014,1
do what u want,lady gaga,5XKXMWPACPq51OiqzxenZo,2013,2014,1
can't remember to forget you,shakira,7o1Pm9jpH0wFpN5g793Lnq,2014,2014,1
amnesia,5 seconds of summer,1JCCdiru7fhstOIF4N7WJC,2014,2014,1
no mediocre,t.i.,0SqUFLaRXwufRUsJ0t4dXB,2014,2014,1
come with me now,kongos,2kWowW0k4oFymhkr7LmvzO,2014,2014,1
believe me,lil wayne,6t2eIONH4Sax3R21QWiKNp,2014,2014,1
