,billboard_year,rank,name,artist,featuring,target
195,2011,96,Are You Gonna Kiss Me or Not,Thompson Square,,1
196,2011,97,Animal,Neon Trees,,1
197,2011,98,You and Tequila,Kenny Chesney,Grace Potter,1
198,2011,99,Colder Weather,Zac Brown Band,,1
199,2011,100,My Last,Big Sean,Chris Brown,1
200,2012,1,Somebody That I Used to Know,Gotye,Kimbra,1
201,2012,2,Call Me Maybe,Carly Rae Jepsen,,1
202,2012,3,We Are Young,Fun,Janelle Monáe,1
203,2012,4,Payphone,Maroon 5,Wiz Khalifa,1
204,2012,5,Lights,Ellie Goulding,,1
205,2012,6,Glad You Came,The Wanted,,1
206,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,,1
207,2012,8,We Found Love,Rihanna,Calvin Harris,1
208,2012,9,Starships,Nicki Minaj,,1
209,2012,10,What Makes You Beautiful,One Direction,,1
210,2012,11,Wild Ones,Flo Rida,Sia,1
211,2012,12,Set Fire to the Rain,Adele,,1
212,2012,13,Sexy and I Know It,LMFAO,,1
213,2012,14,Some Nights,Fun,,1
214,2012,15,Wide Awake,Katy Perry,,1
215,2012,16,Good Feeling,Flo Rida,,1
216,2012,17,Whistle,Flo Rida,,1
217,2012,18,One More Night,Maroon 5,,1
218,2012,19,Drive By,Train,,1
219,2012,20,The Motto,Drake,Lil Wayne,1
220,2012,21,Where Have You Been,Rihanna,,1
221,2012,22,Everybody Talks,Neon Trees,,1
222,2012,23,Take Care,Drake,Rihanna,1
223,2012,24,Titanium,David Guetta,Sia,1
224,2012,25,I Won't Give Up,Jason Mraz,,1
225,2012,26,It Will Rain,Bruno Mars,,1
226,2012,27,Mercy,Kanye West,,1
227,2012,28,Boyfriend,Justin Bieber,,1
228,2012,29,Party Rock Anthem,LMFAO,Lauren Bennett,1
229,2012,30,Too Close,Alex Clare,,1
230,2012,31,Part of Me,Katy Perry,,1
231,2012,32,"Young, Wild & Free",Snoop Dogg,Wiz Khalifa,1
232,2012,33,We Are Never Ever Getting Back Together,Taylor Swift,,1
233,2012,34,As Long as You Love Me,Justin Bieber,Big Sean,1
234,2012,35,Turn Me On,David Guetta,Nicki Minaj,1
235,2012,36,Moves like Jagger,Maroon 5,Christina Aguilera,1
236,2012,37,Blow Me (One Last Kiss),Pink,,1
237,2012,38,Good Time,Owl City,,1
238,2012,39,Give Your Heart a Break,Demi Lovato,,1
239,2012,40,Niggas in Paris,Jay-Z,,1
240,2012,41,The One That Got Away,Katy Perry,,1
241,2012,42,Feel So Close,Calvin Harris,,1
242,2012,43,Someone like You,Adele,,1
243,2012,44,Scream,Usher,,1
244,2012,45,Rack City,Tyga,,1
245,2012,46,Domino,Jessie J,,1
246,2012,47,Gangnam Style,Psy,,1
247,2012,48,International Love,Pitbull,Chris Brown,1
248,2012,49,Home,Phillip Phillips,,1
249,2012,50,Without You,David Guetta,Usher,1
250,2012,51,Ass Back Home,Gym Class Heroes,Neon Hitch,1
251,2012,52,Wanted,Hunter Hayes,,1
252,2012,53,Drunk on You,Luke Bryan,,1
253,2012,54,No Lie,2 Chainz,Drake,1
