kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,1,6V1bu6o1Yo5ZXnsCJU8Ovk,2018-06-15,2018
Someone You Loved,Lewis Capaldi,pop,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,1,7qEHsqek33rTcFNT9PFqLf,2019-05-17,2019
Antisocial (with Travis Scott),Ed Sheeran,pop,0.716,0.823,5.0,-5.313,0.0,0.0495,0.132,0.0,0.361,0.91,151.957,1,1DhRbox3xkceP64k3JeYfW,2019-07-12,2019
Doin' Time,Lana Del Rey,pop,0.641,0.559,7.0,-11.132,0.0,0.0355,0.404,0.00402,0.0937,0.523,144.982,1,0Oqc0kKFsQ6MhFOLBNZIGX,2019-08-30,2019
lovely (with Khalid),Billie Eilish,"pop, Dance/Electronic",0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,1,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,2018
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,0.885,0.762,8.0,-5.513,0.0,0.216,0.219,0.0,0.162,0.605,138.058,1,1AI7UPw3fgwAFkvAlZWhE0,2019-07-12,2019
Dance Monkey,Tones And I,pop,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,1,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,2019
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,0.746,0.787,4.0,-6.373,1.0,0.12,0.214,0.0,0.0669,0.607,95.005,1,4wuCQX7JvAZLlrcmH4AeZF,2019-07-12,2019
How Do You Sleep?,Sam Smith,pop,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,1,6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-19,2019
Cruel Summer,Taylor Swift,pop,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,1,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23,2019
Dancing With A Stranger (with Normani),Sam Smith,pop,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,1,3xgT3xIlFGqZjYW9QlhJWp,2020-10-30,2020
oh jesus,jon mclaughlin,Pop/Rock; Pop; Romântico,0.43,0.158,0.4545454545454546,0.5747379319270093,1.0,0.0335,0.946,0.0,0.101,0.357,0.5116509487558232,1,4TkS11fxUhECAnDUPB2Zkl,2013-09-24,2013
每次你走的時分,my little airport,cantopop,0.576,0.505,11.0,-13.07,0.0,0.0392,0.753,0.199,0.151,0.57,127.025,1,6i8z0tElGO6Ye3Bk7nW496,2021-08-30,2021
下了兩天雨,my little airport,cantopop,0.577,0.228,11.0,-14.684,1.0,0.0306,0.834,0.000805,0.384,0.161,119.035,1,3fkGSUHFDNpqft16NLwY1T,2021-08-30,2021
詩歌舞街,my little airport,cantopop,0.641,0.479,4.0,-15.395,1.0,0.0443,0.732,0.0598,0.115,0.301,121.974,1,45rZ0CtRR470rAOFiWJNeM,2021-08-30,2021
那陣時不知道,my little airport,cantopop,0.613,0.21,5.0,-15.309,1.0,0.0309,0.769,0.000477,0.139,0.268,132.035,1,5dHDpwbX3TnK42Fu7x6jaP,2021-08-30,2021
